 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
    0.938578         22.0850    
    0.938905         22.0931    
    0.939231         22.1012    
    0.940456         22.1315    
    0.942053         22.1710    
    0.943278         22.2013    
    0.943604         22.2094    
    0.943931         22.2175    
    0.945155         22.2478    
    0.946753         22.2874    
    0.947978         22.3177    
    0.948304         22.3258    
    0.948630         22.3339    
    0.949855         22.3642    
    0.951453         22.4038    
    0.952677         22.4342    
    0.953004         22.4423    
    0.953330         22.4504    
    0.954554         22.4807    
    0.956152         22.5204    
    0.957377         22.5507    
    0.957703         22.5588    
    0.958029         22.5669    
    0.959254         22.5973    
    0.960852         22.6370    
    0.962077         22.6674    
    0.962403         22.6755    
    0.962729         22.6836    
    0.963954         22.7140    
    0.965552         22.7537    
    0.966776         22.7841    
    0.967102         22.7922    
    0.967429         22.8003    
    0.968653         22.8308    
    0.970251         22.8705    
    0.971476         22.9009    
    0.971802         22.9090    
    0.972128         22.9172    
    0.973353         22.9476    
    0.974951         22.9874    
    0.976175         23.0178    
    0.976502         23.0260    
    0.976828         23.0341    
    0.978053         23.0646    
    0.979650         23.1043    
    0.980875         23.1348    
    0.981201         23.1430    
    0.981528         23.1511    
    0.982752         23.1816    
    0.984350         23.2214    
    0.985575         23.2519    
    0.985901         23.2601    
    0.986227         23.2682    
    0.987452         23.2987    
    0.989050         23.3386    
    0.990274         23.3691    
    0.990601         23.3772    
    0.990927         23.3854    
    0.992152         23.4159    
    0.993749         23.4558    
    0.994974         23.4864    
    0.995300         23.4945    
    0.995627         23.5027    
    0.996851         23.5332    
    0.998449         23.5731    
    0.999674         23.6037    
     1.00000         23.6119    
     1.00000         23.6119    
     1.00010         23.6145    
     1.00050         23.6243    
     1.00101         23.6370    
     1.00140         23.6468    
     1.00150         23.6494    
     1.00161         23.6520    
     1.00200         23.6618    
     1.00251         23.6746    
     1.00290         23.6843    
     1.00300         23.6869    
     1.00311         23.6896    
     1.00350         23.6993    
     1.00401         23.7121    
     1.00440         23.7219    
     1.00451         23.7245    
     1.00461         23.7271    
     1.00500         23.7369    
     1.00551         23.7497    
     1.00590         23.7594    
     1.00601         23.7620    
     1.00611         23.7647    
     1.00650         23.7744    
     1.00701         23.7872    
     1.00740         23.7970    
     1.00751         23.7996    
     1.00761         23.8022    
     1.00800         23.8120    
     1.00852         23.8248    
     1.00891         23.8346    
     1.00901         23.8372    
     1.00911         23.8398    
     1.00951         23.8496    
     1.01002         23.8624    
     1.01041         23.8722    
     1.01051         23.8748    
     1.01062         23.8774    
     1.01101         23.8872    
     1.01152         23.8999    
     1.01191         23.9097    
     1.01201         23.9124    
     1.01212         23.9150    
     1.01251         23.9248    
     1.01302         23.9375    
     1.01341         23.9473    
     1.01352         23.9500    
     1.01362         23.9526    
     1.01401         23.9624    
     1.01452         23.9752    
     1.01491         23.9850    
     1.01502         23.9876    
     1.01512         23.9902    
     1.01551         24.0000    
     1.01602         24.0128    
     1.01642         24.0226    
     1.01652         24.0252    
     1.01662         24.0278    
     1.01702         24.0376    
     1.01753         24.0504    
     1.01792         24.0602    
     1.01802         24.0628    
     1.01813         24.0654    
     1.01852         24.0752    
     1.01903         24.0880    
     1.01942         24.0978    
     1.01952         24.1005    
     1.01963         24.1031    
     1.02002         24.1129    
     1.02053         24.1257    
     1.02092         24.1355    
     1.02102         24.1381    
     1.02113         24.1407    
     1.02152         24.1505    
     1.02203         24.1633    
     1.02242         24.1731    
     1.02253         24.1758    
     1.02263         24.1784    
     1.02302         24.1882    
     1.02353         24.2010    
     1.02392         24.2108    
     1.02403         24.2134    
     1.02413         24.2160    
     1.02452         24.2259    
     1.02503         24.2387    
     1.02543         24.2485    
     1.02553         24.2511    
     1.02563         24.2537    
     1.02603         24.2635    
     1.02654         24.2764    
     1.02693         24.2862    
     1.02703         24.2888    
     1.02714         24.2914    
     1.02753         24.3012    
     1.02804         24.3141    
     1.02843         24.3239    
     1.02853         24.3265    
     1.02864         24.3291    
     1.02903         24.3389    
     1.02954         24.3518    
     1.02993         24.3616    
     1.03004         24.3642    
     1.03014         24.3668    
     1.03053         24.3766    
     1.03104         24.3895    
     1.03143         24.3993    
     1.03154         24.4019    
     1.03164         24.4045    
     1.03203         24.4144    
     1.03254         24.4272    
     1.03293         24.4370    
     1.03304         24.4396    
     1.03314         24.4423    
     1.03353         24.4521    
     1.03405         24.4649    
     1.03444         24.4748    
     1.03454         24.4774    
     1.03464         24.4800    
